num = 5769, ma = 10, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 938, ma = 25, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 938, ma = 25, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 938, ma = 25, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 938, ma = 25, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 938, ma = 25, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 938, ma = 25, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 244, ma = 25, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 244, ma = 25, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 244, ma = 25, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 244, ma = 25, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 244, ma = 25, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 244, ma = 25, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 83, ma = 25, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 83, ma = 25, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 83, ma = 25, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 83, ma = 25, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 83, ma = 25, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 83, ma = 25, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 4568, ma = 30, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 4568, ma = 30, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 4568, ma = 30, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 4568, ma = 30, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 4568, ma = 30, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 4568, ma = 30, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 873, ma = 30, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 873, ma = 30, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 873, ma = 30, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 873, ma = 30, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 873, ma = 30, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 873, ma = 30, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 233, ma = 30, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 233, ma = 30, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 233, ma = 30, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 233, ma = 30, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 233, ma = 30, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 233, ma = 30, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 79, ma = 30, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 79, ma = 30, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 79, ma = 30, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 79, ma = 30, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 79, ma = 30, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 79, ma = 30, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 4291, ma = 35, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 4291, ma = 35, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 4291, ma = 35, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 4291, ma = 35, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 4291, ma = 35, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 4291, ma = 35, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 807, ma = 35, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 807, ma = 35, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 807, ma = 35, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 807, ma = 35, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 807, ma = 35, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 807, ma = 35, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 213, ma = 35, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 213, ma = 35, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 213, ma = 35, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 213, ma = 35, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 213, ma = 35, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 213, ma = 35, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 72, ma = 35, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 72, ma = 35, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 72, ma = 35, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 72, ma = 35, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 72, ma = 35, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 72, ma = 35, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 4115, ma = 40, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 4115, ma = 40, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 4115, ma = 40, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 4115, ma = 40, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 4115, ma = 40, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 4115, ma = 40, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 766, ma = 40, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 766, ma = 40, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 766, ma = 40, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 766, ma = 40, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 766, ma = 40, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 766, ma = 40, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 198, ma = 40, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 198, ma = 40, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 198, ma = 40, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 198, ma = 40, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 198, ma = 40, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 198, ma = 40, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 66, ma = 40, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 66, ma = 40, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 66, ma = 40, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 66, ma = 40, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 66, ma = 40, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 66, ma = 40, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 3916, ma = 45, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 3916, ma = 45, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 3916, ma = 45, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 3916, ma = 45, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 3916, ma = 45, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 3916, ma = 45, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 725, ma = 45, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 725, ma = 45, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 725, ma = 45, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 725, ma = 45, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 725, ma = 45, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 725, ma = 45, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 193, ma = 45, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 193, ma = 45, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 193, ma = 45, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 193, ma = 45, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 193, ma = 45, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 193, ma = 45, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 65, ma = 45, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 65, ma = 45, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 65, ma = 45, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 65, ma = 45, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 65, ma = 45, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 65, ma = 45, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 3726, ma = 50, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 3726, ma = 50, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 3726, ma = 50, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 3726, ma = 50, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 3726, ma = 50, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 3726, ma = 50, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 672, ma = 50, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 672, ma = 50, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 672, ma = 50, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 672, ma = 50, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 672, ma = 50, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 672, ma = 50, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 175, ma = 50, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 175, ma = 50, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 175, ma = 50, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 175, ma = 50, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 175, ma = 50, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 175, ma = 50, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 61, ma = 50, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 61, ma = 50, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 61, ma = 50, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 61, ma = 50, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 61, ma = 50, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 61, ma = 50, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
